15C_A	15C_B	15C_C	25C_D	25C_E	25C_F	32C_G	32C_H	32C_I
TRINITY_DN35859_c1_g1	2.74684744126827	1.7541109191277	2.27339798902331	-0.959330928197895	-1.22343360141918	-1.39335860286149	-1.07027681335776	-0.934976598705479	-1.19297980487747
TRINITY_DN25310_c0_g1	-0.643273081285175	-1.36055562975283	-1.08438332968215	0.308906849549685	0.681812390284088	-0.962945202232169	0.954675510600029	0.896071839647928	1.20969065287059
TRINITY_DN8923_c0_g1	1.90858416275671	1.81032481811267	0.590362950011676	-0.810764417659721	-0.973225899916913	-0.68473476459738	-0.34066954879813	-0.382320259829727	-1.11755704007918
TRINITY_DN55793_c0_g1	0.564801039987826	0.891505556228258	0.775652588046753	-0.561006648469249	0.120620153820015	-0.564808218629105	-0.307495016753961	-0.429555794841572	-0.489713659388964
TRINITY_DN21807_c0_g1	0.929074463628212	1.50730958968319	0.850559721889306	-0.772821541689922	-1.27348154205407	-0.975876699605034	0.243267431439252	-0.0552426028316271	-0.45278882045931
TRINITY_DN2067_c0_g1	0.989946633449466	1.43534071293536	0.640632333577944	0.235764466572176	-0.3146081049851	-0.996282246777934	-0.684779131309664	-0.813589949261743	-0.492424714200504
TRINITY_DN55799_c0_g1	-0.738106923492814	-0.738106923492814	-0.738106923492814	0.000877031207697887	-0.555414625976623	-0.406975001275612	2.00066091330738	0.767275925569491	0.407896527646111
TRINITY_DN59717_c0_g1	-0.709120689513445	-0.709120689513445	-0.709120689513445	-0.134776935593433	0.173717966253806	-0.540478653954606	1.44759951013837	0.130838897976087	1.05046128372011
TRINITY_DN12147_c0_g1	0.950809710994985	1.15689264117074	0.675424202044653	-0.708153371169948	-0.36619954162014	-0.532568840231179	-0.530366251954665	-0.176872841943922	-0.468965707290522
TRINITY_DN43011_c1_g2	-0.77365163888465	-1.59533671768972	-1.00789914934621	0.0453754000721416	0.50442780870272	-0.215427690690369	0.921762593563937	0.865533500503156	1.25521589376899
TRINITY_DN13095_c0_g1	2.08724025341498	1.27863223040055	1.63729679835608	-0.736363817608604	-1.00135032970613	-1.2571574283389	-0.565158565184188	-0.825046415701117	-0.618092725632666
TRINITY_DN61091_c0_g1	1.13817378983636	0.295199207261379	0.78001614431859	0.169113890275462	-0.444411108160391	-0.558785769133169	-0.35174720591358	-0.521791561650967	-0.505767386833678
TRINITY_DN3080_c0_g1	1.31684724211647	0.720446068660467	0.423864169638939	-1.07386886639935	-0.235029316296409	-1.0788565811024	0.35756834559384	-0.0664194778641813	-0.36455158434737
TRINITY_DN30228_c1_g1	1.27138275967626	2.27133473147775	1.07182578854851	-0.19205269060433	-0.850158637180447	-1.57318905953611	-0.52860678301523	-0.202620471553514	-1.26791563781288
TRINITY_DN96_c0_g1	0.855958935188081	1.60340601322261	0.752123124203541	-0.211427904541793	-0.631473027872537	-0.754998774066019	-0.721509028986151	-0.420014526353211	-0.472064810794521
TRINITY_DN61326_c0_g1	0.987151794340888	0.944918928762858	0.783037265628418	-0.238674130444348	-0.638118695033806	-0.638118695033806	-0.161996275153654	-0.523085452087566	-0.515114740978986
TRINITY_DN25341_c0_g1	1.65589335151669	0.746073083868285	1.15176407633746	-0.705952558200635	-0.862904282221987	-1.43679854598694	-0.352782290217986	-0.194372131668651	-0.000920703426238401
TRINITY_DN21217_c0_g1	1.47489574723596	0.681135457396092	1.06565326960673	-0.875823226332225	-0.562645639256437	-1.17252803753385	-0.417420057790543	0.0037771734966261	-0.19704468682235
TRINITY_DN51390_c0_g1	1.41898148590584	1.58525433620361	1.21419097810135	-0.905829117514649	-0.696687719676057	-0.0214265645309614	-0.905829117514649	-0.905829117514649	-0.782825163459829
TRINITY_DN15142_c0_g1	-0.711626030857812	-0.70796591462602	-0.161697126612688	-0.0980384893903699	0.518771715226448	-0.474475784406241	0.505171153637592	-0.0625508969947332	1.19241137402382
TRINITY_DN16450_c0_g1	0.940625429471436	0.676443394063561	0.892188723952776	-0.265154181721377	0.0133286232010805	-0.237239369281767	-0.350461494345884	-0.601099657273746	-1.06863146806608
TRINITY_DN10161_c0_g1	1.28652570060033	0.724869822799264	1.07341843175733	-0.564816025484259	-0.268004607666041	-1.30234506236057	0.141289213985381	-0.497676223821206	-0.593261249810227
TRINITY_DN11621_c0_g1	1.55100011592166	2.06758946859332	1.29931440216453	-0.963098408099443	-0.637919778511659	-0.871175918658404	-0.788360407894998	-0.60475291457646	-1.05259655893855
TRINITY_DN24656_c0_g1	0.771152676153983	1.3917430856552	0.881436860534208	-0.575831881951201	-0.617725662658006	-0.673536525626512	-0.198668391926824	-0.449519178441993	-0.529050981738859
TRINITY_DN14164_c0_g1	0.80174963403578	1.23357055676583	0.407959509798639	-0.198066383940009	-0.0958105161155434	0.0985473663031033	-0.558115645750507	-0.790776402540782	-0.899058118556514
TRINITY_DN56105_c0_g1	2.15009622813079	1.30693632810793	2.08583497709137	-0.940079721659419	-0.940079721659419	-0.940079721659419	-0.842468925032996	-0.940079721659419	-0.940079721659419
TRINITY_DN6111_c0_g1	1.19871178380139	1.14017534842191	1.14815963254328	-0.159598137850617	-0.58503394120662	-0.665640698779504	-0.81167483443031	-0.597303569016351	-0.667795583483178
TRINITY_DN55867_c0_g1	-0.880413379064984	-0.684845217661725	-0.367442721505011	1.82504046505632	0.554962412461991	-0.663487388062204	-0.663487388062204	0.0121974854611102	0.867475731376712
TRINITY_DN1237_c0_g1	1.0637159495805	0.924406315376269	0.490310480281741	-0.58046259413164	-0.581806511360531	-0.583151681659281	-0.303835625399258	-0.26877980702808	-0.160396525659717
TRINITY_DN11274_c0_g1	1.26967580244761	2.21267412516986	2.01451708452053	-1.04327973944041	-0.913667001309943	-1.04327973944041	-0.410081053066409	-1.04327973944041	-1.04327973944041
TRINITY_DN6050_c0_g1	0.524199265676685	1.44626770600687	0.622917316626577	-0.70810392688331	-0.359066540094708	-0.973540822932409	-0.030932486820745	-0.0212072565627228	-0.500533255016235
TRINITY_DN23878_c0_g1	1.42209791225962	1.92906527511877	0.875544063699014	-1.27545770771035	-0.800958336006537	-0.979858322414439	-0.342202927853093	-0.22096208817873	-0.607267868914258
TRINITY_DN62542_c0_g1	0.109623969966937	0.101888321187332	-0.406391177036728	-0.508353587982182	-0.923391087261026	-0.705168307673533	0.351636032657308	1.29012639539673	0.690029440745165
TRINITY_DN55244_c0_g1	1.25083138976502	0.319006280482044	0.375040315396372	-0.184089354068744	-1.01198280771288	-1.37409999271594	0.16952171262432	0.31353434524781	0.142238110981993
TRINITY_DN49867_c0_g1	0.935716067584978	1.32784707558486	0.637192577032559	-0.516773245730093	-0.413433496037409	-0.0100778018062002	-0.656659420791022	-0.509648811296712	-0.794162944540957
TRINITY_DN52536_c0_g1	-0.529124464295148	0.641786321292719	0.247332180888225	-0.494053850485776	-0.674241172154959	-0.497908749348168	0.308204907361798	0.643099653236752	0.354905173504558
TRINITY_DN50337_c0_g1	0.826769142277283	1.2226559299275	0.502919898816001	0.653786564442629	-0.258426544014915	-1.05177818587633	-0.663622974842427	-0.199651356340598	-1.03265247438915
TRINITY_DN35847_c0_g1	2.58386132594694	1.78537444629001	2.00491686243719	-0.673489923723996	-0.836751932036417	-2.21232884679504	-0.315637534406568	-1.22001826762277	-1.11592613008935
TRINITY_DN55297_c0_g1	1.15740257783137	1.21584180317323	0.724073929695041	-1.09792776832696	-1.00473362164988	-1.100642153024	0.351112244463738	0.0586780907178497	-0.303805102880395
