"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1128 0.447447437660869 2 6 "GO:0000002" "mitochondrial genome maintenance" 0.778148009316965
-1079 0.00775582347980392 1 81 "GO:0000003" "reproduction" 0.11112467751475
-1977 0.0857110881832546 3 10 "GO:0000011" "vacuole inheritance" 0.397397283654066
1761 0.171046245932673 4 8 "GO:0000012" "single strand break repair" 0.538447483412606
817 0.0573485902035788 4 72 "GO:0000018" "regulation of DNA recombination" 0.325165378496669
1966 0.0513998207305358 2 13 "GO:0000019" "regulation of mitotic recombination" 0.31417861495309
477 0.341065805366359 2 53 "GO:0000027" "ribosomal large subunit assembly" 0.705094457034611
-322 0.658196472977654 2 25 "GO:0000028" "ribosomal small subunit assembly" 0.878917588968069
-1625 0.0181744427955934 2 28 "GO:0000038" "very long-chain fatty acid metabolic process" 0.181383433304311
-1001 0.0235571052979397 2 68 "GO:0000041" "transition metal ion transport" 0.20666905824411
-96 0.843929038142013 2 56 "GO:0000045;GO:1905037" "autophagosome organization" 0.958560878701409
758 0.555918885846043 4 8 "GO:0000052;GO:0019240" "citrulline metabolic process" 0.829113309747527
210 0.78633095466518 5 22 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.94018404114494
786 0.435935447166211 7 13 "GO:0000055" "ribosomal large subunit export from nucleus" 0.774007834764497
1178 0.359963320223547 2 8 "GO:0000056" "ribosomal small subunit export from nucleus" 0.72355025812076
491 0.536356525490771 4 21 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.817752774899401
-193 0.580889934701893 5 109 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.840824016469573
-1358 0.08012924077933 2 22 "GO:0000076" "DNA replication checkpoint" 0.385062956840601
-487 0.24737539409046 2 75 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.6174287925253
144 0.779609342647436 6 50 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.938022038046513
-433 0.501498849583176 2 32 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.804298596113427
-512 0.419301741714012 4 33 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.76230042376914
149 0.711883319802785 4 82 "GO:0000096" "sulfur amino acid metabolic process" 0.904143778435654
-343 0.45879430407024 2 62 "GO:0000097;GO:0006555;GO:0009086" "sulfur amino acid biosynthetic process" 0.784292079046149
-63 0.956543376018756 2 10 "GO:0000098" "sulfur amino acid catabolic process" 0.98972377062793
829 0.471495505245452 4 10 "GO:0000103" "sulfate assimilation" 0.79012535439019
3870 0.00262579588585818 2 8 "GO:0000105" "histidine biosynthetic process" 0.0620109298390942
654 0.0155219680718924 5 184 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.166204458123648
-1953 0.000511326212133351 5 42 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.0194118023806261
-73 0.893657410861399 2 44 "GO:0000154" "rRNA modification" 0.974229179375733
1584 0.0154704810785158 5 31 "GO:0000160" "phosphorelay signal transduction system" 0.166078994817177
190 0.707508839138386 5 52 "GO:0000165" "MAPK cascade" 0.902430333610843
-89 0.952059440696791 2 6 "GO:0000183" "rDNA heterochromatin assembly" 0.988513233304276
981 0.0967541328493634 3 38 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.420868033290883
-1015 0.494537957074493 2 6 "GO:0000186" "activation of MAPKK activity" 0.803534730427805
-1848 0.00356531821993487 2 33 "GO:0000187" "activation of MAPK activity" 0.0751958024568082
-1928 0.0401429748103089 2 15 "GO:0000188" "inactivation of MAPK activity" 0.273469923014437
103 0.676399214665238 3 219 "GO:0000209" "protein polyubiquitination" 0.887255311020336
-3426 0.00472865581103429 3 9 "GO:0000212;GO:0007056;GO:0090306" "spindle assembly involved in meiosis" 0.0897584848494509
-471 0.0325969574510449 3 279 "GO:0000226" "microtubule cytoskeleton organization" 0.241784892212369
2363 0.00117584204537608 2 25 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.0354607899885086
2157 0.00369671420637513 2 24 "GO:0000245" "spliceosomal complex assembly" 0.0768033757503609
1663 0.170340796488665 6 9 "GO:0000266" "mitochondrial fission" 0.538081063643468
-1830 0.131417185195639 2 9 "GO:0000270" "peptidoglycan metabolic process" 0.48020279036252
900 0.257166700563379 2 21 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 0.624832923178772
-908 0.0210031051421814 5 86 "GO:0000272" "polysaccharide catabolic process" 0.195554524135478
-406 0.178423603786722 3 147 "GO:0000278" "mitotic cell cycle" 0.54625877522973
-465 0.397103492064032 2 44 "GO:0000280;GO:0140013" "nuclear division" 0.742439590952273
-2 0.995510699660947 3 135 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.998139899588023
1295 0.237892900506498 2 11 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.605463245461732
602 0.459699448052467 3 20 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.784292079046149
-374 0.801395290480673 3 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.94510288084154
-733 0.393044073328518 8 18 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.741449158473122
-75 0.821649978106728 2 121 "GO:0000302" "response to reactive oxygen species" 0.950276936201832
-740 0.481448737365397 2 12 "GO:0000338" "protein deneddylation" 0.795619282642619
756 0.00152025082126202 3 237 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.0423237828639346
902 0.390792568958067 2 12 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.741056374479181
280 0.626701952543517 2 40 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.86060748234848
1206 0.0232626535865569 7 47 "GO:0000387" "spliceosomal snRNP assembly" 0.2062523171496
3879 0.00478822235922664 2 7 "GO:0000388" "spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)" 0.0900703449195065
1030 0.487893930671011 2 6 "GO:0000389" "mRNA 3'-splice site recognition" 0.800854876895325
2178 0.0381783546688031 3 12 "GO:0000390" "spliceosomal complex disassembly" 0.265317896391279
981 0.252842810542887 2 18 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.621100927545351
-1574 0.00184847343302953 2 52 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.0488558547869071
1030 0.487823509366963 6 6 "GO:0000414;GO:2001253" "regulation of histone H3-K36 methylation" 0.800854876895325
621 0.384649442741926 4 26 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.737509675339891
1409 0.386438254940862 5 5 "GO:0000423" "mitophagy" 0.738903916040769
430 0.723255512135033 2 9 "GO:0000429;GO:0045990" "carbon catabolite regulation of transcription" 0.908612199249681
-894 0.547439939097352 8 6 "GO:0000436;GO:0045991" "carbon catabolite activation of transcription" 0.824617839630866
2720 0.00517059848078788 2 14 "GO:0000447;GO:0000472;GO:0000967;GO:0000480" "rRNA 5'-end processing" 0.0923047763220127
259 0.861629905722881 2 6 "GO:0000448" "cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.965401739170298
-71 0.961988194519732 2 6 "GO:0000451;GO:0000453" "rRNA 2'-O-methylation" 0.990339915521848
-409 0.783311434950147 2 6 "GO:0000455" "enzyme-directed rRNA pseudouridine synthesis" 0.93889453282199
-10 0.993526341317512 3 9 "GO:0000459;GO:0000467;GO:0031125" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.997857166633331
-126 0.877389356758185 2 20 "GO:0000460" "maturation of 5.8S rRNA" 0.969572337996717
185 0.741981882801793 4 42 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.917177563138842
84 0.883772414707129 3 40 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.970963852622197
65 0.94887067802096 4 13 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.987107841503596
1407 0.0242915434813922 2 34 "GO:0000469" "cleavage involved in rRNA processing" 0.208527952090433
1623 0.0324936683037346 2 23 "GO:0000479;GO:0000478;GO:0090502" "RNA phosphodiester bond hydrolysis, endonucleolytic" 0.241784892212369
455 0.74071020307797 2 7 "GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 0.916314453772351
407 0.802333624098284 2 5 "GO:0000492" "box C/D snoRNP assembly" 0.94510288084154
-1122 0.383118562255019 4 8 "GO:0000578" "embryonic axis specification" 0.736603644556611
1379 0.171746180054021 3 13 "GO:0000710" "meiotic mismatch repair" 0.538447483412606
818 0.49997419084685 4 9 "GO:0000712" "resolution of meiotic recombination intermediates" 0.804298596113427
-707 0.582372737210453 4 8 "GO:0000717" "nucleotide-excision repair, DNA duplex unwinding" 0.840824016469573
326 0.841073336206719 2 5 "GO:0000720" "pyrimidine dimer repair by nucleotide-excision repair" 0.958080265138914
1049 0.264387528068023 2 15 "GO:0000722" "telomere maintenance via recombination" 0.630543870480905
497 0.283011922563382 3 62 "GO:0000723;GO:0032200" "telomere maintenance" 0.650086792422818
428 0.263686121603439 2 91 "GO:0000724;GO:0000725" "recombinational repair" 0.630541146897857
699 0.203290506872298 2 44 "GO:0000726;GO:0006303" "non-recombinational repair" 0.576522260478699
-1436 0.0777292573905268 2 20 "GO:0000727" "double-strand break repair via break-induced replication" 0.379835581626683
-440 0.732547764540307 3 8 "GO:0000729" "DNA double-strand break processing" 0.913129098590249
-242 0.817968650582339 7 12 "GO:0000730;GO:0090735;GO:1902298;GO:1990426;GO:1990505" "DNA recombinase assembly" 0.948316792013284
-563 0.316564249458904 4 42 "GO:0000731;GO:0019985" "DNA synthesis involved in DNA repair" 0.682484411843254
-1477 0.363926701813083 2 5 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.727193322784236
1467 0.323190334872937 2 6 "GO:0000738" "DNA catabolic process, exonucleolytic" 0.686142775002229
-587 0.576392903600869 2 12 "GO:0000741" "karyogamy" 0.840158948126412
-79 0.945391421107827 6 10 "GO:0000743;GO:0030989" "dynein-driven meiotic oscillatory nuclear movement" 0.986720298282026
-21 0.986772590608967 3 8 "GO:0000750" "pheromone-dependent signal transduction involved in conjugation with cellular fusion" 0.995754256752515
-299 0.349401933817446 2 131 "GO:0000902" "cell morphogenesis" 0.714545776504238
-613 0.165830625254593 4 68 "GO:0000904" "cell morphogenesis involved in differentiation" 0.534755745994734
-700 0.563764752265313 3 9 "GO:0000911" "cytokinesis by cell plate formation" 0.83248995949786
440 0.717081244698388 4 9 "GO:0000912;GO:0000915;GO:0044837" "assembly of actomyosin apparatus involved in cytokinesis" 0.907586932257972
4869 0.00276535481772015 5 5 "GO:0000917;GO:0090529" "division septum assembly" 0.0634512182351612
2600 0.0586463868560741 2 7 "GO:0000920" "septum digestion after cytokinesis" 0.329201674323724
1080 0.116502387849159 3 28 "GO:0000959" "mitochondrial RNA metabolic process" 0.457739266584693
893 0.376089934312956 3 13 "GO:0000963;GO:0140053" "mitochondrial gene expression" 0.732933240472441
1114 0.220867552403431 2 16 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.59760117528331
2401 0.036959392972255 2 10 "GO:0000973" "posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 0.260273903966504
310 0.184677607831715 2 247 "GO:0001101" "response to acid chemical" 0.552605423598113
4805 0.000476029077788948 4 7 "GO:0001123" "transcription initiation from bacterial-type RNA polymerase promoter" 0.0185784806434266
-2152 0.117615892065867 -1 7 "GO:0001302" "obsolete replicative cell aging" 0.45774833668878
998 0.501730313466274 5 6 "GO:0001403" "invasive growth in response to glucose limitation" 0.804298596113427
-524 0.519432291381698 2 20 "GO:0001501" "skeletal system development" 0.811979273303506
-1536 0.102071231387572 2 15 "GO:0001503" "ossification" 0.427794120779121
-459 0.721088383276602 3 8 "GO:0001504" "neurotransmitter uptake" 0.907586932257972
-965 0.0202728636058165 3 77 "GO:0001505" "regulation of neurotransmitter levels" 0.191769771448924
211 0.693914011963098 2 46 "GO:0001508" "action potential" 0.8977028853649
55 0.900752462957868 4 69 "GO:0001510" "RNA methylation" 0.975527542103668
768 0.636881753966664 5 5 "GO:0001514;GO:0006451" "selenocysteine incorporation" 0.866777165360946
131 0.935651018518415 3 5 "GO:0001516;GO:0046457" "prostaglandin biosynthetic process" 0.982556540021675
835 0.261162682360813 4 24 "GO:0001522" "pseudouridine synthesis" 0.628608946626665
-1337 0.0443521601514913 2 30 "GO:0001523" "retinoid metabolic process" 0.29076078617367
-375 0.437752913549621 2 57 "GO:0001525" "angiogenesis" 0.774224152521764
-749 0.230265517454693 4 34 "GO:0001539;GO:0060285" "cilium-dependent cell motility" 0.602697865102537
1100 0.19982278834786 4 18 "GO:0001541;GO:0022602" "ovulation cycle process" 0.571813355264919
-993 0.365678131220346 3 11 "GO:0001556" "oocyte maturation" 0.727301023995169
196 0.529476389209997 4 137 "GO:0001558" "regulation of cell growth" 0.815363171085679
-1771 0.0918744115288204 3 12 "GO:0001561" "fatty acid alpha-oxidation" 0.410778953473612
3930 0.00815203399832045 4 6 "GO:0001562;GO:0042832" "response to protozoan" 0.114685319710607
-323 0.706264934206722 3 18 "GO:0001568" "blood vessel development" 0.90192936104377
397 0.807187397795406 2 5 "GO:0001570" "vasculogenesis" 0.946367772643217
-1530 0.00438986338693747 4 46 "GO:0001578" "microtubule bundle formation" 0.084640375676046
-2946 0.0151483210780571 2 9 "GO:0001649" "osteoblast differentiation" 0.164310100836277
-361 0.421223447096331 2 66 "GO:0001654;GO:0007423" "sensory organ development" 0.76365427142241
1026 0.0306124881205515 2 59 "GO:0001666;GO:0036293" "response to decreased oxygen levels" 0.235863008102257
-294 0.435010738481495 3 94 "GO:0001667;GO:0010631" "ameboidal-type cell migration" 0.773416596676268
-127 0.903584951286804 2 12 "GO:0001672;GO:0010847" "regulation of chromatin assembly or disassembly" 0.975756012268166
-2041 0.169330680516663 2 6 "GO:0001675" "acrosome assembly" 0.536920973301127
-584 0.349674351780885 2 34 "GO:0001676" "long-chain fatty acid metabolic process" 0.714645226080185
-103 0.88700704760685 2 25 "GO:0001678;GO:0071326;GO:0071331;GO:0071333" "cellular glucose homeostasis" 0.97155942311164
115 0.800198859143482 3 64 "GO:0001701;GO:0043009" "chordate embryonic development" 0.94510288084154
-711 0.31047646155048 2 27 "GO:0001708" "cell fate specification" 0.675745257381711
-1005 0.338947258712851 3 12 "GO:0001709" "cell fate determination" 0.702802260369844
680 0.441257876223846 7 17 "GO:0001731" "formation of translation preinitiation complex" 0.774224152521764
1699 0.00404285855624593 2 38 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.081167867954689
-2490 0.0028699469406913 2 19 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.0644437090562857
-3319 0.00158197705941295 2 12 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 0.0437505708616456
-3514 0.00629304341165099 2 8 "GO:0001745" "compound eye morphogenesis" 0.0999250514966731
-880 0.468199089967112 5 9 "GO:0001755" "neural crest cell migration" 0.787746110765374
-604 0.53493838249626 2 14 "GO:0001756;GO:0035282" "segmentation" 0.81737016413438
381 0.53565484999472 2 35 "GO:0001763" "morphogenesis of a branching structure" 0.81737016413438
-1281 0.0728011718420117 4 26 "GO:0001764" "neuron migration" 0.367615107149022
1981 0.182223420079663 5 6 "GO:0001773;GO:0043011;GO:0097028" "myeloid dendritic cell differentiation" 0.550077171058098
