#gene_id	transcript_id	sprot_Top_BLASTX_hit	RNAMMER	prot_id	prot_coords	sprot_Top_BLASTP_hit	Pfam	SignalP	TmHMM	eggnog	Kegg	gene_ontology_BLASTX	gene_ontology_BLASTP	gene_ontology_Pfam	transcript	peptide
TRINITY_DN0_c0_g1	TRINITY_DN0_c0_g1_i1	AMIE_ALCBS^AMIE_ALCBS^Q:234-4,H:233-309^77.922%ID^E:1.64e-39^RecName: Full=Aliphatic amidase {ECO:0000255|HAMAP-Rule:MF_01242};^Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax	.	.	.	.	.	.	.	COG0388^nitrilase cyanide hydratase and apolipoprotein n-acyltransferase	KEGG:abo:ABO_1980	GO:0004040^molecular_function^amidase activity`GO:0043864^molecular_function^indoleacetamide hydrolase activity`GO:0006807^biological_process^nitrogen compound metabolic process	.	.	.	.
TRINITY_DN47_c0_g1	TRINITY_DN47_c0_g1_i1	BOLA4_ARATH^BOLA4_ARATH^Q:8-205,H:113-176^59.091%ID^E:6.38e-19^RecName: Full=Protein BOLA4, chloroplastic/mitochondrial {ECO:0000303|PubMed:24203231};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	.	.	.	.	KEGG:ath:AT5G17560	GO:0009507^cellular_component^chloroplast`GO:0005739^cellular_component^mitochondrion`GO:0009536^cellular_component^plastid	.	.	.	.
TRINITY_DN57_c0_g1	TRINITY_DN57_c0_g1_i1	CX6B2_ARATH^CX6B2_ARATH^Q:229-20,H:6-76^39.437%ID^E:4.66e-14^RecName: Full=Cytochrome c oxidase subunit 6b-2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	.	.	.	.	KEGG:ath:AT5G57815	GO:0005739^cellular_component^mitochondrion`GO:0009536^cellular_component^plastid`GO:0045277^cellular_component^respiratory chain complex IV	.	.	.	.
TRINITY_DN71_c0_g1	TRINITY_DN71_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN25_c0_g1	TRINITY_DN25_c0_g1_i1	SIGA_NOSS1^SIGA_NOSS1^Q:321-1,H:151-257^63.551%ID^E:1.6e-44^RecName: Full=RNA polymerase sigma factor SigA {ECO:0000255|HAMAP-Rule:MF_00963};^Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc	.	TRINITY_DN25_c0_g1_i1.p1	1-345[-]	SIGA_NOSS1^SIGA_NOSS1^Q:9-115,H:151-257^63.551%ID^E:1.44e-44^RecName: Full=RNA polymerase sigma factor SigA {ECO:0000255|HAMAP-Rule:MF_00963};^Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc	.	.	.	COG0568^Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)	KEGG:ana:all5263	GO:0005737^cellular_component^cytoplasm`GO:0003677^molecular_function^DNA binding`GO:0003700^molecular_function^DNA-binding transcription factor activity`GO:0016987^molecular_function^sigma factor activity`GO:0001123^biological_process^transcription initiation from bacterial-type RNA polymerase promoter	GO:0005737^cellular_component^cytoplasm`GO:0003677^molecular_function^DNA binding`GO:0003700^molecular_function^DNA-binding transcription factor activity`GO:0016987^molecular_function^sigma factor activity`GO:0001123^biological_process^transcription initiation from bacterial-type RNA polymerase promoter	.	.	.
TRINITY_DN44_c0_g1	TRINITY_DN44_c0_g1_i1	IF2G_DICDI^IF2G_DICDI^Q:246-1,H:177-258^69.512%ID^E:8.13e-34^RecName: Full=Eukaryotic translation initiation factor 2 subunit 3;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium	.	.	.	.	.	.	.	.	KEGG:ddi:DDB_G0278967	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005850^cellular_component^eukaryotic translation initiation factor 2 complex`GO:0005525^molecular_function^GTP binding`GO:0003924^molecular_function^GTPase activity`GO:0003743^molecular_function^translation initiation factor activity`GO:0000049^molecular_function^tRNA binding`GO:0001731^biological_process^formation of translation preinitiation complex`GO:0045903^biological_process^positive regulation of translational fidelity	.	.	.	.
TRINITY_DN4_c0_g1	TRINITY_DN4_c0_g1_i1	SPP_PEA^SPP_PEA^Q:249-22,H:1056-1131^51.316%ID^E:6.38e-20^RecName: Full=Stromal processing peptidase, chloroplastic {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; IRL clade; Fabeae; Pisum	.	.	.	.	.	.	.	.	.	GO:0009570^cellular_component^chloroplast stroma`GO:0046872^molecular_function^metal ion binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0016485^biological_process^protein processing	.	.	.	.
TRINITY_DN32_c0_g1	TRINITY_DN32_c0_g1_i1	UBC27_ARATH^UBC27_ARATH^Q:312-1,H:53-156^67.308%ID^E:7.69e-50^RecName: Full=Ubiquitin-conjugating enzyme E2 27;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	TRINITY_DN32_c0_g1_i1.p1	1-312[-]	UBC27_ARATH^UBC27_ARATH^Q:1-104,H:53-156^67.308%ID^E:6.92e-50^RecName: Full=Ubiquitin-conjugating enzyme E2 27;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	KEGG:ath:AT5G50870	GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0061631^molecular_function^ubiquitin conjugating enzyme activity`GO:0043161^biological_process^proteasome-mediated ubiquitin-dependent protein catabolic process`GO:0000209^biological_process^protein polyubiquitination	GO:0005634^cellular_component^nucleus`GO:0005524^molecular_function^ATP binding`GO:0061631^molecular_function^ubiquitin conjugating enzyme activity`GO:0043161^biological_process^proteasome-mediated ubiquitin-dependent protein catabolic process`GO:0000209^biological_process^protein polyubiquitination	.	.	.
TRINITY_DN89_c0_g1	TRINITY_DN89_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN49_c0_g1	TRINITY_DN49_c0_g1_i1	RL8_SCHPO^RL8_SCHPO^Q:498-1,H:31-197^61.905%ID^E:3.5e-63^RecName: Full=60S ribosomal protein L8;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces	.	TRINITY_DN49_c0_g1_i1.p2	1-498[-]	RL7A1_ARATH^RL7A1_ARATH^Q:1-166,H:28-192^62.048%ID^E:1.26e-69^RecName: Full=60S ribosomal protein L7a-1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	KEGG:ath:AT2G47610	GO:0022625^cellular_component^cytosolic large ribosomal subunit`GO:0003723^molecular_function^RNA binding`GO:0003735^molecular_function^structural constituent of ribosome`GO:0002181^biological_process^cytoplasmic translation`GO:0000470^biological_process^maturation of LSU-rRNA	GO:0005829^cellular_component^cytosol`GO:0022625^cellular_component^cytosolic large ribosomal subunit`GO:0022626^cellular_component^cytosolic ribosome`GO:0005730^cellular_component^nucleolus`GO:0009506^cellular_component^plasmodesma`GO:0042788^cellular_component^polysomal ribosome`GO:0005774^cellular_component^vacuolar membrane`GO:0003729^molecular_function^mRNA binding`GO:0003723^molecular_function^RNA binding`GO:0003735^molecular_function^structural constituent of ribosome`GO:0000470^biological_process^maturation of LSU-rRNA	.	.	.
